Index,Canton,Unemployment_rate,Registered_unemployed,Job_seekers,Job_seekers_Employed
0,Zurich,3.3,27225,34156,6931
1,Berne,2.4,13658,18385,4727
2,Lucerne,1.7,3885,6756,2871
3,Uri,0.6,112,257,145
4,Schwyz,1.7,1455,2229,774
5,Obwald,0.7,153,319,166
6,Nidwald,1,248,436,188
7,Glaris,1.8,416,713,297
8,Zoug,2.3,1543,2615,1072
9,Fribourg,2.7,4466,7837,3371
10,Soleure,2.6,3801,6628,2827
11,Bâle-Ville,3.5,3455,5168,1713
12,Bâle-Campagne,2.8,4082,5540,1458
13,Schaffhouse,3,1286,2328,1042
14,Appenzell Rhodes-Extérieures,1.7,523,866,343
15,Appenzell Rhodes-Intérieures,0.7,62,102,40
16,St-Gall,2.2,6127,10363,4236
17,Grisons,1.1,1166,2590,1424
18,Argovie,2.9,10684,15145,4461
19,Thurgovie,2,3058,5618,2560
20,Tessin,3.1,5202,8675,3473
21,Vaud,4.3,17155,24649,7494
22,Valais,2.8,4816,8027,3211
23,Neuchâtel,5.1,4738,6350,1612
24,Genève,5.2,12234,15497,3263
25,Jura,4.4,1619,2375,756
26,Total,3,133169,193624,60455